casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
7647101,Palladium(II) chloride;Palladium(2+) dichloride,7440-05-3,7440053,Palladium,Pd salt -> Pd element,high,
7647145,Sodium chloride (NaCl),16887-00-6,16887006,Chloride,"Na chloride -> chloride ion (major-ion cation spectator, same reasoning as Potassium chloride above)",medium,Same convention flag as Potassium chloride.
7647156,Sodium bromide (NaBr),24959-67-9,24959679,Bromide,Na bromide -> bromide ion (same reasoning as Lithium bromide above),medium,Bromide ion CAS recalled from memory; confirm before use.
7647178,Cesium chloride,16887-00-6,16887006,Chloride,Cs chloride -> chloride ion (same major-ion-spectator reasoning),medium,Same convention flag as Potassium chloride.
7681110,Potassium iodide;Potassium iodide,20461-54-5,20461545,Iodide,K iodide -> iodide ion (same major-ion-spectator reasoning),medium,"Iodide ion CAS recalled from memory, not cross-verified against an existing in-table entry; confirm before use."
7681381,Sodium hydrogen sulfate;Sodium hydrogen sulfate,14808-79-8,14808798,Sulfate,Na bisulfate -> sulfate ion (documented nutrient-ion convention),high,
7681494,Sodium fluoride;Sodium fluoride,16984-48-8,16984488,Fluoride,"Na fluoride -> fluoride ion (this exact ion is independently present as a standalone entry, CAS 16984488, elsewhere in this same 287-row batch)",high,
7681825,Sodium iodide,20461-54-5,20461545,Iodide,Na iodide -> iodide ion (same reasoning as Potassium iodide above),medium,Iodide ion CAS recalled from memory; confirm before use.
7705079,Titanium chloride,7440-32-6,7440326,Titanium,Ti chloride -> Ti element,high,
7705080,Iron chloride (FeCl3),7439-89-6,7439896,Iron,Fe chloride -> Fe element,high,
7720787,Iron(II) sulfate;Iron(2+) sulfate,7439-89-6,7439896,Iron,Fe salt -> Fe element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
7727437,Barium sulfate;Barium sulfate,7440-39-3,7440393,Barium,"Ba salt -> Ba element (Barium has independent ANZG/ecotox guideline relevance as a trace metal, distinct from major-ion alkaline earths Ca/Mg, per the established Part 1 Barium acetate precedent)",medium,Consistent with Part 1's Barium acetate -> Barium decision.
7727733,Sodium sulfate [USP];Sodium sulfate--water (2/1/10),14808-79-8,14808798,Sulfate,Na sulfate (hydrate) -> sulfate ion (documented nutrient-ion convention; water of crystallisation is not a toxicologically distinct counterion),high,
7745893,3-Chloro-4-methylbenzenamine hydrochloride;3-Chloro-4-methylaniline--hydrogen chloride (1/1),NA,NA,3-Chloro-4-methylaniline (free base),HCl salt of organic base -> free base,medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
7757826,Sodium sulfate anyhdrous;Disodium sulfate,14808-79-8,14808798,Sulfate,Na sulfate -> sulfate ion (documented nutrient-ion convention),high,
7758023,Potassium bromide,24959-67-9,24959679,Bromide,K bromide -> bromide ion (major-ion-spectator reasoning),medium,Bromide ion CAS recalled from memory; confirm before use.
7758943,Iron chloride (FeCl2),7439-89-6,7439896,Iron,Fe chloride -> Fe element,high,
7772998,Tin(II) chloride;Tin(2+) dichloride,7440-31-5,7440315,Tin,Sn salt -> Sn element,high,
7778189,Calcium sulfate;Calcium sulfate,14808-79-8,14808798,Sulfate,"Ca sulfate -> sulfate ion (Calcium is treated as a common major ion/water-hardness contributor rather than a metal of specific toxicological interest in this lookup, distinguishing it from trace metals like Barium/Iron; documented nutrient-ion convention)",high,"This differs from the earlier Calcium oxide/hydroxide -> Calcium precedent, where no competing ion-target existed; flag for reviewer to confirm Ca/Mg sulfate should resolve to Sulfate rather than to the element for full consistency."
7778770,Monobasic potassium phosphate;Potassium dihydrogen phosphate,14265-44-2,14265442,Phosphate,K phosphate -> phosphate ion (documented nutrient-ion convention),high,
7778805,Potassium sulfate;Dipotassium sulfate,14808-79-8,14808798,Sulfate,K sulfate -> sulfate ion (documented nutrient-ion convention),high,
7786303,Magnesium chloride,16887-00-6,16887006,Chloride,"Mg chloride -> chloride ion (major-ion-spectator reasoning, same flag as other simple major-ion chlorides)",medium,Same convention flag as Potassium chloride.
7787475,Beryllium chloride,7440-41-7,7440417,Beryllium,"Be salt -> Be element (Beryllium is treated as a trace metal of interest regardless of anion, per the Stage 2b pilot's Beryllium sulfate -> Beryllium precedent)",high,
7788989,Ammonium chromate;Bisammonium tetraoxidochromate(2-),7440-47-3,7440473,Chromium,"ammonium chromate -> Cr element (hexavalent chromium oxyanion is the toxicologically distinct moiety; the general 'ammonium salts stay direct' precedent applies to simple anions without a metal of interest, e.g. hydroxide/halide, not to metal oxyanions like chromate)",medium,
7789415,Calcium bromide,24959-67-9,24959679,Bromide,Ca bromide -> bromide ion (major-ion-spectator reasoning),medium,Bromide ion CAS recalled from memory; confirm before use.
7790592,Potassium selenate,7782-49-2,7782492,Selenium,"K selenate -> Se element (metalloid oxyanion convention, paralleling the established Arsenate -> Arsenic and Sodium vanadate -> Vanadium precedents; Selenium guideline values are expressed as total Se)",medium,
7790865,Cerium chloride;Cerium(3+) trichloride,7440-45-1,7440451,Cerium,Ce chloride -> Ce element,high,
7791119,Rubidium chloride,16887-00-6,16887006,Chloride,Rb chloride -> chloride ion (major-ion cation treated as spectator),medium,Same convention flag as other simple alkali-metal chlorides in this batch.
7791186,Magnesium chloride--water (1/2/6),16887-00-6,16887006,Chloride,Mg chloride hydrate -> chloride ion (hydrate does not change the resolution; same reasoning as anhydrous Magnesium chloride),medium,Same convention flag as other simple alkali/alkaline-earth chlorides.
8001545,Benzalkonium chloride,8001-54-5,8001545,Benzalkonium chloride,"direct - no simpler parent: quaternary ammonium salt (registered disinfectant, mixture of alkyl chain lengths)",high,
8063523,"(Z)-9-Octadecon-1-ol, Hydrogen sulfate, Sodium salt, mixt. with hexadecyl sodium sulfate",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""mixt. with"" notation joining two distinct alkyl sulfate salt components",high,
8066771,"Sulfuric acid monododecyl ester sodium salt, Mixt. with Tetradecyl sodium sulfate",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""Mixt. with"" notation joining two distinct alkyl sulfate salt components",high,
8067558,"4-Amino-3,5,6-trichloro-2-pyridinecarboxylic acid compd. with 1,1',1''-nitrilotris[2-propanol] (1:1) mixt. with 1,1',1''-nitrilotris[2-propanol] (2,4-dichlorophenoxy)acetate (1:1)",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""compd. with"" notation joining two chemically distinct components with stoichiometry, plus a further ""mixt. with"" component",high,Reused from Stage 2b pilot - same CAS appeared in both samples (the pilot's most complex multi-component mixture case).
9004824,Sodium lauryl polyoxyethylene ether sulfate,9004-82-4,9004824,Sodium lauryl polyoxyethylene ether sulfate (sodium laureth sulfate),direct - no simpler parent: alkyl ether sulfate surfactant (consistent with established Sodium dodecyl/decyl sulfate precedent: alkyl sulfate esters are not collapsed to a simpler parent),high,
9014908,Polyethylene glycol nonylphenyl ether sulfate sodium salt,9014-90-8,9014908,Polyethylene glycol nonylphenyl ether sulfate sodium salt,direct - no simpler parent: alkyl/aryl ether sulfate surfactant (same convention as other alkyl sulfate ester surfactants),high,
10024938,Neodymium(III) chloride;Neodymium trichloride,7440-00-8,7440008,Neodymium,Nd salt -> Nd element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
10025657,Platinum chloride (PtCl2),7440-06-4,7440064,Platinum,Pt chloride -> Pt element,high,
10025748,Dysprosium(III) chloride;Dysprosium trichloride,7429-91-6,7429916,Dysprosium,Dy salt -> Dy element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
10025760,Europium(III) chloride;Europium(3+) trichloride,7440-53-1,7440531,Europium,Eu chloride -> Eu element,high,
10026081,Thorium chloride (ThCl4);Thorium(4+) tetrachloride,7440-29-1,7440291,Thorium,Th chloride -> Th element,high,
10026116,Zirconium(IV) chloride;Zirconium(4+) tetrachloride,7440-67-7,7440677,Zirconium,Zr chloride -> Zr element,high,
10026127,Niobium chloride;Niobium(5+) pentachloride,7440-03-1,7440031,Niobium,Nb chloride -> Nb element,high,
10028225,Ferric sulfate;Iron(3+) sulfate (2/3),7439-89-6,7439896,Iron,Fe sulfate -> Fe element (heavy-metal cation overrides the sulfate nutrient-ion convention),high,
10038989,Germanium chloride,7440-56-4,7440564,Germanium,Ge chloride -> Ge element,high,
10039540,Hydroxylamine sulfate (2:1);Bis(hydroxyammonium) sulfate,7803-49-8,7803498,Hydroxylamine,"sulfate salt of inorganic/organic base -> free base, consistent with the established Hydroxylamine hydrochloride -> Hydroxylamine precedent",high,
10042849,Nitrilotriacetic acid sodium salt;Sodium [bis(carboxymethyl)amino]acetate,10042-84-9,10042849,Nitrilotriacetic acid sodium salt,"direct - no simpler parent: sodium salt of a chelating tricarboxylic acid (consistent with the established sodium organic-acid-salt precedent, e.g. Trisodium citrate, Sodium [dodecanoyl(methyl)amino]acetate)",high,
10042883,Terbium chloride (TbCl3);Terbium(3+) trichloride,7440-27-9,7440279,Terbium,Tb chloride -> Tb element,high,
10043524,Calcium chloride (CaCl2),16887-00-6,16887006,Chloride,"Ca chloride -> chloride ion (Calcium treated as a common major ion/water-hardness contributor, consistent with the Calcium sulfate -> Sulfate decision earlier in this batch)",medium,Same convention flag as other simple major-ion chlorides; consistency with the earlier Calcium oxide/hydroxide -> Calcium precedent (where no competing ion-target existed) should be reviewed.
10099588,Lanthanum chloride;Lanthanum trichloride,7439-91-0,7439910,Lanthanum,La salt -> La element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
10099668,Lutetium chloride (LuCl3);Lutetium trichloride,7439-94-3,7439943,Lutetium,Lu chloride -> Lu element,high,
10102440,Nitrogen dioxide;Nitrosooxidanyl,10102-44-0,10102440,Nitrogen dioxide,"direct - no simpler parent: simple inorganic gas, conventionally its own analyte (consistent with the Carbon dioxide precedent), distinct from the alkali-metal nitrite/nitrate salts treated under the nutrient-ion convention",high,
10108868,"N,N,N-Trimethyl-1-octanamonium chloride",10108-86-8,10108868,Octyltrimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
10114586,"C.I. Basic Brown 1, dihydrochloride;4,4'-[1,3-Phenylenebis(diazene-2,1-diyl)]di(benzene-1,3-diamine)--hydrogen chloride (1/2)",NA,NA,C.I. Basic Brown 1 (free base diazoamino dye),"dihydrochloride salt of a neutral diazo-diamine dye base -> free base (consistent with the multi-HCl-salt-of-organic-base precedent, e.g. Spermine tetrahydrochloride -> Spermine; unlike the permanently-cationic dye salts elsewhere in this lookup, this dye's chromophore does not require a quaternary/iminium charge)",medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
10138417,Erbium chloride (ErCl3);Erbium trichloride,7440-52-0,7440520,Erbium,Er chloride -> Er element,high,
10138520,Gadolinium(III) chloride;Gadolinium trichloride,7440-54-2,7440542,Gadolinium,Gd chloride -> Gd element,high,
10138622,Holmium chloride (HoCl3);Holmium trichloride,7440-60-0,7440600,Holmium,Ho chloride -> Ho element,high,
10141056,Cobalt(II) nitrate;Cobalt(2+) dinitrate,7440-48-4,7440484,Cobalt,Co nitrate -> Co element (heavy-metal cation overrides the nitrate nutrient-ion convention),high,
10161349,"Trenbolone acetate;(17beta)-3-Oxoestra-4,9,11-trien-17-yl acetate",10161-34-9,10161349,Trenbolone acetate,"direct - no simpler parent: registered veterinary anabolic steroid active ingredient (acetate ester is the standard registered/clinical form, consistent with the Cyproterone acetate precedent)",high,
10361372,Barium chloride,7440-39-3,7440393,Barium,Ba chloride -> Ba element (consistent with the established Barium acetate -> Barium precedent),medium,
10361827,Samarium chloride;Samarium(3+) trichloride,7440-19-9,7440199,Samarium,Sm chloride -> Sm element,high,
10361849,Scandium(III) chloride;Scandium trichloride,7440-20-2,7440202,Scandium,Sc chloride -> Sc element,high,
10377487,Lithium sulfate;Dilithium sulfate,14808-79-8,14808798,Sulfate,Li sulfate -> sulfate ion (documented nutrient-ion convention),high,
10431477,Potassium selenite,7782-49-2,7782492,Selenium,K selenite -> Se element (metalloid oxyanion convention),medium,
10476854,Strontium chloride,16887-00-6,16887006,Chloride,"Sr chloride -> chloride ion (Strontium treated as a common alkaline-earth major ion akin to Ca/Mg rather than a trace metal of specific guideline interest like Barium, since no Sr-specific guideline precedent exists in this lookup)",medium,Judgment call - Strontium's classification as 'major ion' vs 'trace metal of interest' is not precedented elsewhere in this lookup; flag for reviewer. An alternative reading would collapse to elemental Strontium by analogy with Barium.
11071151,"Antimony potassium tartrate anhydrous;Dipotassium 3,6,10,13-tetraoxo-2,7,9,14,15,16,17,18-octaoxa-1,8-distibapentacyclo[10.2.1.1~1,4~.1~5,8~.1~8,11~]octadecane-1,8-diuide",7440-36-0,7440360,Antimony,"antimony potassium tartrate -> Sb element (Antimony is the toxicologically distinct metalloid moiety in this coordination salt; potassium and tartrate are spectators, consistent with the established Antimony trioxide -> Antimony precedent and the general heavy/trace-metal-cation-wins convention)",medium,This is a registered historical antiparasitic/emetic agent (tartar emetic) sometimes tracked as the intact coordination complex rather than decomposed to elemental Sb; flag for reviewer if the project wants this compound kept direct instead.
11105025,Silver vanadium oxide,NA,NA,"Possibly Silver (more potent aquatic toxicant) or Vanadium - mixed-metal oxide, no single clear parent","UNCERTAIN - needs human review: mixed silver-vanadium oxide, contains two metals of independent toxicological interest (Ag, V) with no established convention in this lookup for selecting between co-occurring metals in a single mixed-metal compound",low,"Recommend human review to decide whether this resolves to Silver, Vanadium, both (multi-parent), or stays direct as its own distinct mixed-metal-oxide entity."
12030910,Potassium tantalum oxide,7440-25-7,7440257,Tantalum,"K tantalum oxide -> Ta element (Tantalum is the toxicologically distinct metal; potassium is the spectator counterion, oxide has no competing ion-parent target)",medium,
12040572,Iron chloride,7439-89-6,7439896,Iron,Fe chloride -> Fe element,high,
12055628,Holmium oxide (Ho2O3),7440-60-0,7440600,Holmium,Ho oxide -> Ho element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
12060581,Samarium oxide (Sm2O3),7440-19-9,7440199,Samarium,Sm oxide -> Sm element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
12061164,Erbium oxide (Er2O3),7440-52-0,7440520,Erbium,Er oxide -> Er element,high,
12124979,Ammonium bromide ((NH4)Br),12124-97-9,12124979,Ammonium bromide,"direct - no simpler parent: simple ammonium halide (ammonium is not a metal; consistent with the established ammonium-salts-stay-direct precedent, e.g. Ammonium hydroxide)",high,
12125018,Ammonium fluoride,12125-01-8,12125018,Ammonium fluoride,direct - no simpler parent: simple ammonium halide (same reasoning as Ammonium bromide),high,
12125029,Ammonium chloride ((NH4)Cl),12125-02-9,12125029,Ammonium chloride,direct - no simpler parent: simple ammonium halide (same reasoning as Ammonium bromide),high,
12135761,Ammonium sulfide,7783-06-4,7783064,Hydrogen sulfide,"(NH4)2S -> sulfide ion equivalent (Hydrogen sulfide is the established reference analyte for sulfide/hydrosulfide speciation in this lookup, consistent with how Sodium/Calcium sulfide resolve in Part 1)",medium,
12136457,Potassium oxide;Potassium oxidopotassium,7440-09-7,7440097,Potassium,K oxide -> K element (consistent with the established Potassium hydroxide -> Potassium precedent from Part 1),medium,
12221691,"1,4-Dimethyl-5-[[4-[methyl(phenylmethyl)amino]phenyl]azo]-1H-1,2,4-triazolium bromide",12221-69-1,12221691,"1,4-Dimethyl-5-[[4-[methyl(phenylmethyl)amino]phenyl]azo]-1H-1,2,4-triazolium bromide","direct - no simpler parent: triazolium bromide azo dye/salt, cation permanently charged (consistent with established quaternary heteroaromatic onium salt convention)",high,
12232994,Bismuth sodium oxide (BiNaO3);Sodium dioxo-lambda~5~-bismuthanolate,7440-69-9,7440699,Bismuth,"Bi-Na mixed oxide -> Bi element (sodium is the spectator counterion; bismuth is the toxicologically distinct heavy metal, oxide has no competing ion-parent target)",medium,
12258536,Borate,7440-42-8,7440428,Boron,"Borate ion -> B element (consistent with the established Sodium borate -> Boron precedent; Boron guideline values are expressed as total element, paralleling Arsenic/Vanadium)",medium,
12360508,Bromine Chloride,12360-50-8,12360508,Bromine chloride,"direct - no simpler parent: covalent interhalogen reagent (BrCl), distinct reactive chemical, not decomposed into bromide/chloride ions, consistent with the established Cyanogen bromide/chloride precedent for covalent pseudohalogens",high,
12627133,Silicate,12627-13-3,12627133,Silicate,"direct - no simpler parent: simple inorganic oxyanion (silicate is generally treated as a nutrient/background water-chemistry ion rather than a toxic trace-element driver, unlike Boron/Arsenic/Vanadium/Chromium oxyanions)",medium,
13071119,Dexpropranolol hydrochloride;(2R)-1-[(Naphthalen-1-yl)oxy]-3-[(propan-2-yl)amino]propan-2-ol--hydrogen chloride (1/1),NA,NA,"Dexpropranolol (free base, the (R)-enantiomer of Propranolol)",HCl salt of organic base -> free base,medium,Free-base CAS for this specific enantiomer not confidently verified from memory; recommend confirming before use.
13106768,"(T-4)Molybdate (MoO42-), Diammonium",7439-98-7,7439987,Molybdenum,"diammonium molybdate -> Mo element (ammonium is the spectator counterion; molybdenum is the toxicologically distinct metal in this oxyanion, consistent with Sodium molybdate -> Molybdenum and Ammonium chromate -> Chromium reasoning earlier in this batch)",medium,
13138459,Nickel bis(nitrate);Nickel(2+) dinitrate,7440-02-0,7440020,Nickel,Ni nitrate -> Ni element (heavy-metal cation overrides the nitrate nutrient-ion convention),high,
13150000,Sodium lauryltrioxyethylene sulfate;Sodium 2-{2-[2-(dodecyloxy)ethoxy]ethoxy}ethyl sulfate,13150-00-0,13150000,Sodium lauryltrioxyethylene sulfate,direct - no simpler parent: alkyl ether sulfate surfactant,high,
13171216,Phosphamidon;3-Chloro-4-(diethylamino)-4-oxobut-2-en-2-yl dimethyl phosphate,13171-21-6,13171216,Phosphamidon,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
13316706,"N,N,N-Triethyl-1-hexadecanaminium, Bromide",13316-70-6,13316706,"Cetyltriethylammonium bromide (N,N,N-triethyl-1-hexadecanaminium bromide)",direct - no simpler parent: quaternary ammonium salt,high,
13356086,Fenbutatin oxide;Hexakis(2-methyl-2-phenylpropyl)distannoxane,13356-08-6,13356086,Fenbutatin oxide,"direct - no simpler parent: registered organotin acaricide active ingredient (itself the distannoxane oxide-bridged dimer form, no established simpler reference congener)",high,
13450903,Gallium chloride  (GaCl3),7440-55-3,7440553,Gallium,Ga chloride -> Ga element,high,
13453071,Gold chloride,7440-57-5,7440575,Gold,Au chloride -> Au element,high,
13463677,Titanium oxide (TiO2),7440-32-6,7440326,Titanium,Ti oxide -> Ti element,high,
13464374,Trisodium arsenite;Trisodium arsorite,7440-38-2,7440382,Arsenic,"Na arsenite -> As element (documented speciation convention: arsenic oxyanions resolve to elemental Arsenic; sodium is the spectator counterion, consistent with the established Sodium arsenite -> Arsenic precedent)",high,
13510491,Beryllium sulfate;Beryllium sulfate,7440-41-7,7440417,Beryllium,Be salt -> Be element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
13537183,Thulium chloride (TmCl3);Thulium trichloride,7440-30-4,7440304,Thulium,Tm chloride -> Tm element,high,
13674845,"1-Chloro-2-propanol 2,2',2''-phosphate",13674-84-5,13674845,Tris(1-chloro-2-propyl) phosphate,direct - no simpler parent: phosphate ester flame retardant (consistent with established phosphate-ester-stays-direct convention),high,
13674878,"Tris(1,3-dichloro-2-propyl) phosphate;Tris(1,3-dichloropropan-2-yl) phosphate",13674-87-8,13674878,"Tris(1,3-dichloro-2-propyl) phosphate",direct - no simpler parent: phosphate ester flame retardant (same convention as other phosphate esters),high,
13863417,Bromine chloride,13863-41-7,13863417,Bromine chloride,"direct - no simpler parent: covalent interhalogen reagent (BrCl), same reasoning as the other Bromine chloride entry in this batch",medium,This appears to duplicate the chemical name 'Bromine Chloride' registered under a different CAS (12360508) earlier in this same batch; flag for reviewer to check whether these should be merged/deduplicated.
13907476,Chromate,7440-47-3,7440473,Chromium,"Chromate ion -> Cr element (metal oxyanion convention, paralleling Arsenate -> Arsenic and Sodium vanadate -> Vanadium; hexavalent chromium guideline values are expressed as total Cr)",medium,
14124675,Selenite,7782-49-2,7782492,Selenium,"Selenite ion -> Se element (metalloid oxyanion convention, paralleling Arsenite -> Arsenic)",medium,
14124686,Selenate,7782-49-2,7782492,Selenium,Selenate ion -> Se element (same reasoning as Selenite),medium,
14214892,"Potassium (2,4-dichlorophenoxy)acetate;Potassium (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","potassium salt -> 2,4-D acid parent (phenoxy herbicide convention)",high,
14265442,Phosphate;Phosphate,14265-44-2,14265442,Phosphate,"direct - no simpler parent: documented nutrient ion, already the parent form",high,
14338320,2-Chloro-1-methylpyridinium iodide;2-Chloro-1-methylpyridin-1-ium iodide,14338-32-0,14338320,2-Chloro-1-methylpyridinium iodide,"direct - no simpler parent: quaternary pyridinium salt, cation permanently charged",high,
14507198,Lanthanum hydroxide (La(OH)3),7439-91-0,7439910,Lanthanum,"La hydroxide -> La element (consistent with the established Ca/Mg/K/Na hydroxide-collapses-to-element precedent, extended to a lanthanide)",high,
14611520,N-Methyl-N-[(2R)-1-phenylpropan-2-yl]prop-2-yn-1-amine--hydrogen chloride,14611-51-9,14611519,Selegiline (L-deprenyl),"HCl salt of organic base -> free base; structure matches Selegiline (N-methyl-N-propargyl-(R)-amphetamine), a registered MAO-B inhibitor pharmaceutical",high,
14644612,Zirconium(IV) sulfate;Zirconium(4+) disulfate,7440-67-7,7440677,Zirconium,Zr salt -> Zr element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
14797650,Nitrite,14797-65-0,14797650,Nitrite,"direct - no simpler parent: documented nutrient ion, already the parent form, consistent with how Nitrate is treated",high,
14808798,Sulfate;Sulfate,14808-79-8,14808798,Sulfate,"direct - no simpler parent: documented nutrient ion, already the parent form",high,
14959865,"7-Dodecen-1-ol, acetate, (7Z)-;(7Z)-7-Dodecen-1-yl acetate",14959-86-5,14959865,(7Z)-7-Dodecen-1-yl acetate,"direct - no simpler parent: simple ester, insect pheromone component",high,
15165794,Potassium 1-naphthaleneacetate;Potassium (naphthalen-1-yl)acetate,86-87-3,86873,1-Naphthaleneacetic acid (NAA),potassium salt -> NAA acid parent (plant growth regulator ester/salt convention),high,
15263522,"Cartap hydrochloride;S,S'-[2-(Dimethylamino)propane-1,3-diyl] dicarbamothioate--hydrogen chloride (1/1)",15263-53-3,15263533,Cartap,HCl salt of organic base -> free base (registered carbamate/dithiocarbamate insecticide active ingredient),medium,Free-base CAS recalled from memory (sequential registration pattern relative to the HCl salt's own CAS 15263-52-2); recommend confirming before use.
15307796,"Diclofenac sodium;Sodium [2-(2,6-dichloroanilino)phenyl]acetate",15307-86-5,15307865,Diclofenac,"sodium salt of a carboxylic-acid drug -> free acid (consistent with the established phenoxy-herbicide-salt convention extended to other carboxylic-acid actives, e.g. Fenac sodium salt -> Fenac)",high,
